id,question,option 1,option 2,option 3,option 4,option 5,answer,explanation,category,Question_ID,Answer_ID,context_1,context_2,context_3,context_4,context_5
question 7622,In what scenarios may the network operator reduce network traffic further without reducing the Quality of Service (QoS)? [3GPP Release 17],Asset management services,Privacy Exception List,Value added services,Periodic location determination and reporting,Event-based or time-based decision process by the application,option 5: Event-based or time-based decision process by the application,"If the event-based or time-based decision process is the responsibility of the application, it may reduce network traffic further without reducing the Quality of Service (QoS).",Standards specifications,7622,5,"

The 3GPP Core Network shall be able to indicate to a 3rd party service provider when data transmissions have a risk of incapability to provide expected throughput and/or QoS in a specific area (e.g. due to forecasted high traffic load in that area). Additionally, an estimate may be given when the high traffic load is expected to be mitigated.","

This feature is a set of service features that allows operators to control traffic from UEs to an application on a third-party server or the third-party server itself. When an application on a third-party server or the third-party server itself becomes congested or fails the traffic towards that server need to be controlled to avoid/mitigate potential issues caused by resulting unproductive use of 3GPP network resource. This will also make it possible to allow 3GPP network to help third-party servers to handle overload and recover from failures. (see [11])","

This feature allows operators to control traffic from UEs to an application on a third-party server or the third-party server itself. When an application on a third-party server or the third-party server itself becomes congested or fails the traffic towards that server need to be controlled to avoid/mitigate potential issues caused by resulting unproductive use of 3GPP network resource. This will also make it possible to allow 3GPP network to help third party servers to handle overload and recover from failures (see [7]).","Indication of QoS Flow Termination Implications.

3GPP PS Data Off Support.

Request and report Access Network Information.",5.8.2.2.1	Number of QoS flows attempted to modify via untrusted non-3GPP access
question 7629,What is the primary cell (PCell) in the context of RRC? [3GPP Release 18],The cell that broadcasts the MIB,The cell that provides the security input,The cell that handles emergency calls,The cell that provides the NAS mobility information,The cell that handles multicast/broadcast data,option 4: The cell that provides the NAS mobility information,The primary cell (PCell) is the cell that provides the NAS mobility information in the context of RRC.,Standards specifications,7629,4,"

When CA is configured, the UE only has one RRC connection with the network. At RRC connection establishment/re-establishment/handover, one serving cell provides the NAS mobility information, and at RRC connection re-establishment/handover, one serving cell provides the security input. This cell is referred to as the Primary Cell (PCell). Depending on UE capabilities, Secondary Cells (SCells) can be configured to form together with the PCell a set of serving cells. The configured set of serving cells for a UE therefore always consists of one PCell and one or more SCells.","

When CA is configured, the UE only has one RRC connection with the network. At RRC connection establishment/re-establishment/handover, one serving cell provides the NAS mobility information (e.g. TAI), and at RRC connection re-establishment/handover, one serving cell provides the security input. This cell is referred to as the Primary Cell (PCell). In the downlink, the carrier corresponding to the PCell is the Downlink Primary Component Carrier (DL PCC) while in the uplink it is the Uplink Primary Component Carrier (UL PCC).","

When a PUCCH SCell is configured, RRC configures the mapping of each serving cell to Primary PUCCH group or Secondary PUCCH group, i.e., for each SCell whether the PCell or the PUCCH SCell is used for the transmission of ACK/NAKs and CSI reports. A PUCCH SCell cannot be in dormant state.",2>	if the UE's serving cell (RRC_IDLE) or PCell (RRC_CONNECTED) is suitable as defined in TS 36.304 [4]:,"

5>	include the previousNR-PCellId and set it to the global cell identity of the PCell where the last RRCConnectionReconfiguration message including mobilityControlInfo was received embedded in NR RRC message MobilityFromNRCommand message as specified in TS 38.331 [82] clause 5.4.3.3;"
question 7635,What is HARQ-ACK bundling? [3GPP Release 14],A feature that enables UEs to transmit multiple HARQ-ACK feedback for a single DL transport block.,A feature that allows UEs to transmit a single HARQ-ACK feedback for multiple DL transport blocks.,A technique for improving DL peak rate in half-duplex FDD operation.,A method for improving link performance in DL-heavy TDD configurations.,,option 2: A feature that allows UEs to transmit a single HARQ-ACK feedback for multiple DL transport blocks.,"HARQ-ACK bundling enables the UE to transmit a single HARQ-ACK feedback for multiple DL transport blocks, increasing the portion of subframes that can be used for DL data transmission.",Standards overview,7635,2,"3GPP

Release 14	45	3GPP TR 21.914 V14.0.0 (2018-05)

Support UL asynchronous HARQ transmission:",,,,
question 7636,When can Path update signaling related to Dual Connectivity and UPF re-allocation occur? [3GPP Release 18],Only when the Master RAN node is not congested,"Sequentially, one after the other",Independent of each other,At the same time,Only when the Secondary RAN node is not congested,option 4: At the same time,Path update signaling related to Dual Connectivity and UPF re-allocation cannot occur at the same time.,Standards specifications,7636,4,"Path update signalling related with Dual Connectivity and UPF re-allocation cannot occur at the same time.

5.12	Charging","Signalling flows for resource allocation outcome are presented in 3GPP TS 29.513 [7].

4.2.5.9	Void","

Solution # & Title Impacts on Existing Nodes & Functionality UE AMF SMF UPF UDM #5.1: Support traffic switching between two non-3GPP paths Yes Yes Yes Yes Yes #5.2: Delaying UDM Registration until non-3GPP access switching completes Yes Yes Yes Yes No #5.3: Path switching between non-3GPP accesses Yes Yes Yes Yes Yes #5.4: Non-3GPP access path switching in MA PDU Session Yes Yes Yes Yes Yes #5.5: Non-3GPP path switch during Registration in new non-3GPP access Yes Yes Yes Yes Yes #5.6: Consolidated solution for traffic switching between two non-3GPP access paths Yes Yes Yes Yes No","6.16	Solution #5.5: Non-3GPP path switch during Registration in new non-3GPP access

6.16.1	Introduction","6.9	Solution #5.3: Path switching between non-3GPP accesses	43

6.9.1	Introduction	43

6.9.2	High-level Description	43"
question 7640,When does the gNB-CU trigger the UE Context Setup procedure? [3GPP Release 17],Inactive to Idle transitions,Inactive to active transitions excluding transitions due to signalling exchange only,Inactive to other RRC states transitions,Active to Inactive transitions,,option 2: Inactive to active transitions excluding transitions due to signalling exchange only,"The gNB-CU triggers the UE Context Setup procedure for inactive to active transitions, excluding transitions due to signalling exchange only.",Standards specifications,7640,2,"

3.	The gNB-CU sends an UE CONTEXT SETUP REQUEST message to the candidate gNB-DU to create an UE context and setup one or more data bearers. The UE CONTEXT SETUP REQUEST message is sent for each candidate cell and includes a HandoverPreparationInformation (conditional handover) or a CG-ConfigInfo (conditional PSCell change or subsequent CPAC).",A.8	Monitoring of UE Context Release (gNB-CU initiated),"8.3.3	UE Context Release (gNB-CU initiated)

8.3.3.1	General","-- UE Context Release (gNB-CU initiated) ELEMENTARY PROCEDURE

--",5.1.3.5.2	Number of UE Context Release Requests (gNB-CU initiated)
question 7650,What is the purpose of the User Identifier in the context of Network Slice-Specific Authentication and Authorization? [3GPP Release 16],To authenticate and authorize a UE for access to a specific network slice,To identify the existing identifiers relating to a 3GPP subscription or UE,To establish PDU Session(s) to the required Data network,To create and manage User Identities,To interwork the 3GPP system with an external entity for authentication and authorization,option 1: To authenticate and authorize a UE for access to a specific network slice,The User Identifier is used for Network Slice-Specific Authentication and Authorization.,Standards overview,7650,1,"

The feature allows the use of a User Identifier [1], which is independent of existing identifiers relating to a 3GPP subscription or UE, for Network Slice-Specific Authentication and Authorization. [1][2][3]",,,,
question 7654,What are some of the enhancements considered for the development of eCAPIF in Release 16? [3GPP Release 16],Architecture functional model to support multiple API providers,Architectural model for the CAPIF interconnection,Additional deployment models,Procedure to support API topology hiding,All of the above,option 5: All of the above,"Some of the enhancements considered for the development of eCAPIF in Release 16 include an architecture functional model to support multiple API providers, an architectural model for the CAPIF interconnection, additional deployment models, and a procedure to support API topology hiding.",Standards overview,7654,5,"

While a basic Common API Framework is made available in 3GPP Rel-15, there are several enhancements that are considered for developing eCAPIF in Rel-16 in TS 23.222 [2], and the key enhancements are listed as follows:","

In Release 16, further enhancements and changes to the 3GPP Northbound APIs (i.e. SCEF Northbound APIs, NEF Northbound APIs, CAPIF APIs and xMB API) are necessary. The enhancements specified by this Work Item are:","

830069 Enhancements for Common API Framework for 3GPP Northbound APIs eCAPIF SP-181137 Basavaraj Pattan, Samsung 790022 Stage 2 for eCAPIF eCAPIF S6 SP-181137 Basavaraj Pattan, Samsung 830022 Security aspects of eCAPIF eCAPIF S3 SP-1901240 Rajavelsamy Rajadurai, Samsung","9.2	Enhancement of 3GPP Northbound APIs

840013 Enhancement of 3GPP Northbound APIs eNAPIs C3 CP-191233 Yali Yan, Huawei",9.3	Enhancements for Common API Framework for 3GPP Northbound APIs
question 7657,Which component handles the request for prioritized QoS Flows for Mobile Originations? [3GPP Release 18],AMF,PCF,UPF,SMF,(R)AN,option 2: PCF,The PCF handles the request for prioritized QoS Flows for Mobile Originations.,Standards specifications,7657,2,RAN Initiated QoS Flow Mobility (see clause 4.14.1 of 3GPP TS 23.502 [3] and clause 8.2.5 of 3GPP TS 38.413 [9]);,Signalling flows for the QoS flow termination and details of the binding mechanism are presented in 3GPP TS 29.513 [7].,Signalling flows for the QoS flow termination and details of the binding mechanism are presented in 3GPP TS 29.513 [7].,5.8.2.1	QoS flow setup via untrusted non-3GPP access,binding of service data flows to QoS flow as defined in 3GPP TS 29.513 [7];
question 7658,What is the purpose of inter-level correlation? [3GPP Release 18],To aggregate charging events belonging to the same charging session over a time period.,To combine charging events belonging to the same service generated by different CTFs.,To uniquely identify each operator for inter operator accounting purposes.,To enable operators involved in IMS sessions to identify each other.,To include IOI identities within SIP signalling.,option 2: To combine charging events belonging to the same service generated by different CTFs.,"Inter-level correlation combines the charging events belonging to the same service but generated by different CTFs, for example, for PS access control via IM Subsystem.",Standards specifications,7658,2,5.3.4.2	Inter-level correlation,6.1.2.3.3	3gpp-Sbi-Notification-Correlation,"The isolation of network functions is in the scope of 3GPP.

7	Conclusions","[68]	3GPP TS 23.632: ""User Data Interworking, Coexistence and Migration"".","[5]	3GPP TS 23.632: ""User data interworking, coexistence and migration; Stage 2""."
question 7662,What is the purpose of the handover to NR procedure? [3GPP Release 17],To establish SRBs and DRBs in another RAT,To move a UE in RRC_CONNECTED to a cell using another RAT,To transfer a connection between the UE and another RAN to NR,To activate ciphering in E-UTRA,To re-establish radio resources in NR,option 3: To transfer a connection between the UE and another RAN to NR,"The purpose of the handover to NR procedure is to transfer a connection between the UE and another RAN (e.g., E-UTRAN) to NR.",Standards specifications,7662,3,"

The procedures in this clause are used to hand over a PDU Session between 3GPP access and non-3GPP access. This can be triggered, for example, due to radio conditions, user interaction, etc. When the UE triggers handover of a PDU Session between 3GPP access and non-3GPP access and the procedure fails due to e.g. not allowed by policy or AN rejected resource setup, etc. the network should not release the PDU Session.","[17]	Void.

[18]	3GPP TS 23.009: ""Handover procedures"".","according to procedures described in clause 8.

11	Handover Optimizations Applicable to All Non-3GPP Accesses",Procedures related with Hand-Over management. These procedures are intended for 3GPP access only.,"

Handover of a PDU Session procedure between untrusted non-3GPP to 3GPP access (see clauses 4.9.2.3.2,  4.9.2.4.2 and 4.23.16.2 of 3GPP TS 23.502 [3]);"
question 7667,Which interface is used to transfer control plane protocol between the E-UTRAN and MME? [3GPP Release 17],S1-MME-interface,S1-U-interface,Abis-interface,Iub-interface,Iur-interface,option 1: S1-MME-interface,The S1-MME-interface is used to transfer the control plane protocol between the E-UTRAN and MME.,Standards specifications,7667,1,"[25]	3GPP TS 36.425: ""E-UTRAN X2 interface user plane protocol"".","

The present document provides an overview and overall description of the E-UTRAN radio interface protocol architecture. Details of the radio interface protocols are specified in companion specifications of the 36 series. For Multi-Connectivity involving E-URAN, the differences relative to E-UTRA and E-UTRAN are specified in 3GPP TS 37.340 [76].","10.3	Mobility between E-UTRAN and Non-3GPP radio technologies	169

10.3.1	UE Capability Configuration	169","[6]	3GPP TS 22.030: ""Man-Machine Interface (MMI) of the User Equipment (UE)""",4.9.3.1	E-UTRAN Control Plane for Dual Connectivity
question 7677,What do the delay profiles represent in the multi-path fading propagation conditions? [3GPP Release 18],The maximum delay spanned by the taps,The maximum Doppler frequency,The r.m.s. delay spread,The number of taps at fixed positions on a sampling grid,,option 3: The r.m.s. delay spread,The delay profiles in multi-path fading propagation conditions represent the r.m.s. delay spread.,Standards specifications,7677,3,"G.2	Multi-path fading propagation conditions	374

G.2.1	Delay profiles	374

G.2.1.1	Delay profiles for FR1	375","G.2	Multi-path fading propagation conditions	328

G.2.1	Delay profiles	328

G.2.1.1	Delay profiles for FR1	329","G.2	Multi-path fading propagation conditions	204

G.2.1	Delay profiles	204

G.2.1.1	Delay profiles for FR1	205","F.2	Multi-path fading propagation conditions	154

F.2.1	Delay profiles	154

F.2.1.1	Delay profiles	154","I.2	Multi-path fading propagation conditions	344

I.2.1	General	344

I.2.2	Delay profiles	344

I.2.2.1	General	344"
question 7681,Which measurement is used to calculate the energy efficiency of MIoT network slice based on the number of active UEs? [3GPP Release 18],GTP.InDataOctN3UPF.SNSSAI,GTP.OutDataOctN3UPF.SNSSAI,RM.RegisteredSubNbrMax.SNSSAI,DRB.MeanActiveUeDl.SNSSAI,,option 4: DRB.MeanActiveUeDl.SNSSAI,The measurement used to calculate the energy efficiency of MIoT network slice based on the number of active UEs is DRB.MeanActiveUeDl.SNSSAI.,Standards specifications,7681,4,"6.7.2.4	Energy efficiency of MIoT network slice

6.7.2.4.1	Based on the number of registered subscribers of the network slice","6.7.2.4.2	Based on the number of active UEs in the network slice	37

6.7.3	5G Energy Consumption (EC)	38","3) Energy efficiency of MIoT network slice, with the following variants:",6.7.2.4	Energy efficiency of MIoT network slice	37,The energy efficiency of 5G network slice is defined for each slice type as follows:
question 7691,What determines the EDN service area? [3GPP Release 18],EDN bundle ID,EES bundle ID,EAS bundle ID,LADN service area,EES service area,option 4: LADN service area,"When an EDN is deployed using LADN, the EDN service area is the same as the LADN service area.",Standards specifications,7691,4,7.3.3.4	EDN service area,7.3.3.4	EDN service area,"

The following enhancement (highlighted with bold text) to the EDN configuration information in 3GPP TS 23.558 [2] is proposed:",5.3.5.2	3GPP access service area restrictions,4.3.12.4	PDN GW selection function (3GPP accesses) for Emergency Services
question 7699,What are the characteristics of conversational services? [3GPP Release 18],"Real-time, bi-directional, and low delay variation","Store and forward, user-to-user communication",Retrieval of information stored in information centers,Access to flow of information without user control,,"option 1: Real-time, bi-directional, and low delay variation","Conversational services are real time (no store and forward), usually bi-directional where low end to end delays (< 100 ms) and a high degree of synchronization between media components (implying low delay variation) are required.",Standards specifications,7699,1,"[18]	3GPP TS 23.141: ""Presence Service; Architecture and Functional Description"".","[4]	3GPP TS 26.236: ""Packet switched conversational multimedia applications; Transport protocols"".","[16]	3GPP TS 22.101: ""Service aspects; Service principles"".","[8]	3GPP TS 22.101: ""Service aspects; Service principles"".","[11]	3GPP TS 22.101: ""Service aspects; Service principles""."
question 7703,What does the term 'serving cell' refer to when the procedures are applied for MCG? [3GPP Release 17],Primary cell of the SCG,Serving cell belonging to the MCG,Serving cell belonging to the SCG,PUCCH-SCell,PUCCH-PathlossReferenceRS,option 2: Serving cell belonging to the MCG,The term 'serving cell' in this clause refers to serving cell belonging to the MCG when the procedures are applied for MCG.,Standards specifications,7703,2,2>	if a serving cell is associated with the MeasObjectNR:,2>	if a serving cell is associated with the MeasObjectNR:,2>	if a serving cell is associated with the MeasObjectNR:,,
question 7709,When can the SDT procedure over CG resources be initiated? [3GPP Release 18],When there is valid UL timing alignment.,When the DL RSRP of the SSB is above a configured threshold.,When the UE is in RRC_INACTIVE state.,When the UE is in RRC_IDLE state.,When the UE receives an RRCRelease message.,option 1: When there is valid UL timing alignment.,SDT procedure over CG resources can only be initiated when there is valid UL timing alignment.,Standards specifications,7709,1,"SDT procedure is initiated with either a transmission over RACH (configured via system information) or over Type 1 CG resources (configured via dedicated signalling in RRCRelease). The SDT resources can be configured on initial BWP for both RACH and CG. RACH and CG resources for SDT can be configured on either or both of NUL and SUL carriers. The CG resources for SDT are valid only within the PCell of the UE when the RRCRelease with suspend indication is received. CG resources are associated with one or multiple SSB(s). For RACH, the network can configure 2-step and/or 4-step RA resources for MO-SDT. When both 2-step and 4-step RA resources for MO-SDT are configured, the UE selects the RA type according to clause 9.2.6. If MT-SDT procedure is initiated over RACH, only the RACH resources not configured for SDT can be used by the UE. CFRA is not supported for SDT over RACH.",3>	when the Contention Resolution is considered successful for Random Access procedure while the CG-SDT procedure is ongoing:,"SGSN-Initiated EPS Bearer Modification Procedure using S4

P-CSCF restoration for 3GPP access (see 3GPP TS 23.380 [61])","Procedures with interaction between 5GC and EPC (see 3GPP TS 23.273 [4], clause 6.13)","Procedures with interaction between 5GC and EPC (see 3GPP TS 23.273 [4], clause 6.13)"
question 7711,"Which interface is used to carry information concerning BSS management, call handling, and mobility management between the MSC and BSS? [3GPP Release 17]",Gb-interface,Iu_CS interface,A-interface,Um-interface,Iu_PS-interface,option 3: A-interface,"The A-interface is used to carry information concerning BSS management, call handling, and mobility management between the MSC and the BSS.",Standards specifications,7711,3,"

[18]	3GPP TS 24.022: ""Radio Link Protocol (RLP) for data and telematic services on the Mobile Station - Base Station System (MS - BSS) interface and the Base Station System - Mobile-services Switching Centre (BSS - MSC) interface"".","

[48]	3GPP TS 48.006: ""Signalling transport mechanism specification for the Base Station System - -services Switching Centre (BSS - MSC) interface"".","[13]	3GPP TS 48.008: ""Mobile-services Switching Centre - Base Station System (MSC-BSS) interface; Layer 3 specification"".","[28]	3GPP TS 48.008: ""Mobile Switching Centre - Base Station System (MSC-BSS) interface; Layer 3 specification"".","[49]	3GPP TS 48.008: ""Mobile Switching Centre - Base Station System (MSC - BSS) interface; Layer 3 specification""."
question 7721,Which network function is responsible for authentication and authorization? [3GPP Release 18],SMF,AMF,AUSF,PCF,UDM,option 3: AUSF,The Authentication Server Function (AUSF) is responsible for authentication and authorization.,Standards specifications,7721,3,Step 18: per 3GPP TS 23.502 [4] Figure 4.2.9.2-1 Network Slice-Specific Authentication and Authorization procedure.,Step 18: per 3GPP TS 23.502 [4] Figure 4.2.9.2-1 Network Slice-Specific Authentication and Authorization procedure.,"6.3	Authentication and authorization for accessing 5GS via non-3GPP access network	30

6.3.1	General	30","6.4	Authentication and authorization for accessing EPC via a trusted non-3GPP access network

6.4.1	General","6.5	Authentication and authorization for accessing EPC via an untrusted non-3GPP access network

6.5.1	General"
question 7727,What is the designated interface for V2V communications? [3GPP Release 14],SA,Uu,PC5,PSCCH,,option 3: PC5,The designated interface for V2V communications is PC5 (also known as sidelink at the physical layer).,Standards overview,7727,3,"3GPP

Release 14	22	3GPP TR 21.914 V14.0.0 (2018-05)

Figure 7.1-1: V2X communication over PC5 interface and LTE-Uu interface",,,,
question 7739,What are the two modes of operation for V2X communication? [3GPP Release 14],V2X communication over PC5 interface and V2X communication over LTE-Uu interface,V2X communication over 3GPP interface and V2X communication over non-3GPP interface,V2X communication over E-UTRAN and V2X communication over EPC,V2X communication over E-UTRAN and V2X communication over LTE-Uu interface,,option 1: V2X communication over PC5 interface and V2X communication over LTE-Uu interface,The two modes of operation for V2X communication are V2X communication over PC5 interface and V2X communication over LTE-Uu interface.,Standards overview,7739,1,"There are two modes of operation for V2X communication, as shown in Figure 7.1-1:",,,,
question 7740,What is the purpose of QoS monitoring for assurance? [3GPP Release 17],To assess the QoS of communication services,To provide real-time monitoring of asset conditions,To diagnose and identify problems within a network,To track the location of assets in real-time,To interwork between network operators and application providers,option 1: To assess the QoS of communication services,The purpose of QoS monitoring for assurance is to assess the quality of service (QoS) of communication services and compare them with customer requirements.,Standards specifications,7740,1,"3GPP TS 22.261 [2] Section 6.23.2 ""QoS monitoring"".","See also clauses 4.15.4.5.1 and 5.2.26.2.1 of 3GPP TS 23.502 [3].



5.2.1.3.2	QoS Monitoring","3GPP



Annex B (informative):
QoS verification use cases","[6]	3GPP TS 29.513: ""Policy and Charging Control signalling flows and QoS parameter mapping""","3GPP TS 29.513, Policy and Charging Control signalling flows and QoS parameter mapping"
question 7742,What does a supporting UE display as the network name in a shared network? [3GPP Release 17],The common PLMN,The name stored in the UE for the PLMN-id,The name specified in the broadcast system information,The name of the chosen core network operator,,option 4: The name of the chosen core network operator,A supporting UE in a shared network displays the name of the chosen core network operator as the network name.,Standards specifications,7742,4,5.3.3.4	Support of a UE connected over both 3GPP and Non-3GPP access,5.3.2.4	Support of a UE registered over both 3GPP and Non-3GPP access,Obtaining non-UE associated network assistance data (See clause 4.13.5.6 in 3GPP TS 23.502 [3]),Table 5.3.1-1: Supported UE location information of non-3GPP access,"

To perform network management tasks, co-operating applications require identical interpretation of names assigned to network resources under management. Such names are required to be unambiguous as well. The present document recommends one name convention for network resources under management in the 3GPP context."
question 7753,What are the different types of requirements for different 5G usages? [3GPP Release 18],"Enhanced Mobile Broadband (eMBB), Critical Communications (CC) and Ultra Reliable and Low Latency Communications (URLLC), Flexible network operations","Massive Internet of Things (mIoT), Smart cities, Media and entertainment","Transport, logistics, IoT, Discrete automation, Smart cities","Public Safety, Health and wellness, Electriciy distribution","Transport, logistics, IoT, Media and entertainment","option 1: Enhanced Mobile Broadband (eMBB), Critical Communications (CC) and Ultra Reliable and Low Latency Communications (URLLC), Flexible network operations","The different types of requirements for different 5G usages are Enhanced Mobile Broadband (eMBB), Critical Communications (CC) and Ultra Reliable and Low Latency Communications (URLLC), and Flexible network operations.",Standards specifications,7753,1,"NOTE:	3GPP TS 22.220 [3] is referred, and it is not clear whether these requirements also apply to 5G.",[11]	3GPP TS 22.261: “Service requirements for the 5G system”.,[13]	3GPP TS 22.261: “Service requirements for the 5G system”,"[4]	3GPP TS 22.261, Service requirements for the 5G system","[4]	3GPP TS 22.261: ""Service requirements for the 5G system""."
question 7756,What is the maximum relative velocity at which messages can be transferred between UEs supporting V2V applications? [3GPP Release 17],300 km/h,400 km/h,500 km/h,600 km/h,,option 3: 500 km/h,The 3GPP system can transfer messages between UEs supporting V2V applications with a maximum relative velocity of 500 km/h.,Standards specifications,7756,3,"[3]	TS 22.186: ""Enhancement of 3GPP support for V2X scenarios; Stage 1""",,,,
question 7762,What does the Ndccf_DataManagement_Notify service operation do? [3GPP Release 18],Subscribes to receive data or analytics via the DCCF,Unsubscribes from receiving data or analytics via the DCCF,Notifies the consumer instance of the requested data or analytics,Fetches data or analytics from the DCCF,,option 3: Notifies the consumer instance of the requested data or analytics,The Ndccf_DataManagement_Notify service operation is used to notify the consumer instance of the requested data or analytics.,Standards specifications,7762,3,"

	If the DCCF is used for data collection in step 7, the DCCF invokes Ndccf_DataManagement_Notify service operation as defined in clause 4.2.2.4 of 3GPP TS 29.574 [15]. The ADRF stores the notifications and responses to the Ndccf_DataManagement_Notify service operation with HTTP ""204 No Content"" status code.","

9c.	When the historical data are available in the NWDAF, the NWDAF shall invoke the Nnwdaf_DataManagement_Notify service operation by sending an HTTP POST request message to notify the historical data to the DCCF as described in clause 4.4.2.4 of 3GPP TS 29.520 [5].","

9a.	When the data are available, the NF invokes the Nnf_EventExposure_Notify service operation by sending an HTTP POST request message to notify the data events to the DCCF, e.g. as described in clause 5.5.2.4 of 3GPP TS 29.503 [22] for the UDM, clause 5.3.2.4 of 3GPP TS 29.518 [18] for the AMF, clause 4.2.2 of 3GPP TS 29.508 [6] for the SMF, clause 4.2.2.4 of 3GPP TS 29.591 [11] for the NEF, or clause 4.2.4 of 3GPP TS 29.517 [12] for the AF.","4.2.2.4	Ndccf_DataManagement_Notify service operation	23

4.2.2.4.1	General	23","4.2.2.4	Ndccf_DataManagement_Notify service operation

4.2.2.4.1	General"
question 7769,What does the AULC feature improve? [3GPP Release 14],User location calculation,Core network overload,User location change awareness,Emergency call handling,,option 3: User location change awareness,The AULC feature is an improvement of the Core Network Overload - User Location Information reporting improvement (CNO_ULI) to improve user location change awareness.,Standards specifications,7769,3,"

Release 14 62 3GPP TR 21.914 V14.0.0 (2018-05) 720020 Improvements of awareness of user location AULC 1 SP-160308 change 690050 Study on improvement of awareness of user FS_AULC 2 S2 SP-150517 location change 720021 Improvements of awareness of user location AULC 2 S2 SP-160308 change 730034 CT Aspect of AULC AULC-CT 2 CT CP-160466 730035 CT3 Aspect of AULC AULC-CT 3 C3 CP-160466 730036 CT4 Aspect of AULC AULC-CT 3 C4 CP-160466 730054 Charging Aspects of Improvements of AULC AULC-CH 2 S5 SP-160609","3GPP

Release 14	92	3GPP TR 21.914 V14.0.0 (2018-05)

12.11	Charging and OAM stand alone improvements",,,
question 7773,What is the process of verifying if a Service User is authorized for MPS called? [3GPP Release 18],End-to-End Priority Treatment,Service Invocation,Network Interconnection,Authorization,,option 4: Authorization,Authorization is the process to verify that a Service User is authorized for MPS. This includes capabilities to verify authorization to receive priority treatment in the radio access network and to access the MPS application service.,Standards specifications,7773,4,"

Authorization: The process to verify that a Service User is authorized for MPS. This includes capabilities to verify authorization to receive priority treatment in the radio access network and to access the MPS application service (MPS Voice, Video, and Data).","

A 3GPP system receiving a session with MPS priority from another network needs to verify that the session is authorized for MPS priority.","

6.	The authorized MC service user of partner MC system checks the content of the request and decides whether to approve it or not. The authorized MC service user in the partner MC system takes whatever actions are needed to remove the requested user from migration access to the partner MC system from the primary MC system. The actions within the partner MC system to remove users are outside the scope of the 3GPP specifications.","

A procedure for user authentication is illustrated in figure 7.12-1. The user authentication is performed based on the procedure specified in 3GPP TS 23.280 [6].","

A procedure for user authentication is illustrated in figure 10.2-1. The user authentication is performed based on the procedure specified in 3GPP TS 23.280[16]."
question 7775,Which of the following is a requirement for ensuring security in ranging services? [3GPP Release 17],Ensuring the use of Ranging is only permitted in network coverage under the full control of the operator.,Ensuring that user privacy is not violated during ranging.,Supporting mechanisms for a UE to discover other UEs supporting ranging.,Supporting mechanisms for a UE to assist another UE in performing ranging.,,option 2: Ensuring that user privacy is not violated during ranging.,The 5G system should ensure that user privacy is not violated during ranging.,Standards specifications,7775,2,"

[CPR-19] The 5G system shall be able to ensure that user privacy is not violated during Ranging service, e.g., subject to regional or national regulatory requirements.",5.2.3.2	Incorporation of security requirements from existing 3GPP TSs in current releases	21,"

[PR 5.19.6-9] The 5G system shall be able to ensure that user privacy is not violated during Ranging service, e.g., based on regulatory requirements.",5.2.3.2	Incorporation of security requirements from existing 3GPP TSs in current releases,"

[PR 5.19.6-10] The 5G system shall be able to ensure security protection (e.g., interworking security) when the Ranging service concerns UEs subscribed with different operators."
question 7782,What is a Feature Set combination? [3GPP Release 18],A set of UE features,A set of contiguous serving cells,A two-dimensional matrix of feature sets per band,A set of alternative features,A set of aggregated carriers,option 3: A two-dimensional matrix of feature sets per band,A Feature Set combination is the two-dimensional matrix of feature sets per band in a band combination.,Standards specifications,7782,3,9.2.1	3gpp-Optional-Features,9.2.3	3gpp-Accepted-Features,Feature-capability indicator name: g.3gpp.dynamic-e-stn-drvcc,"This Solution Set specification is related to 3GPP TS 28.658 V16.2.X [4].

2	References",the g.3gpp.mid-call feature-capability indicator;
question 7785,What is periodic location reporting? [3GPP Release 17],The act of the network operator monitoring the location and status of an asset,The act of the LCS Server initiating multiple position locations spread over a period of time,The act of the target UE querying the LCS server about any valid requests,The act of the PLMN supporting periodic location reporting for Emergency Services,The act of the LCS client activating requests for the target UE,option 2: The act of the LCS Server initiating multiple position locations spread over a period of time,Periodic location reporting is when the LCS Server initiates multiple position locations spread over a period of time.,Standards specifications,7785,2,"

This parameter refers to the periodic reporting interval and reporting amount of the deferred periodic location. For details see 3GPP TS 23.271 [26a].",This parameter refers to the periodic reporting interval and reporting amount of the deferred periodic location. For details see 3GPP TS 23.271 [26a].,"

The messages for PeriodicTriggeredInvoke operations can be used to enable the location events reporting over user plane connection, and the messages for EventReport operations can be used for the cumulative event report, as described in clause 6.16.1 of 3GPP TS 23.273 [2]. The location events reporting over user plane connection is defined in 3GPP TS 24.572 [9]).","Initiation and Reporting of Location Events (see 3GPP TS 23.273 [42], clause 6.3.1)","Initiation and Reporting of Location Events (see 3GPP TS 23.273 [4], clause 6.3.1, clause 6.16.1)"
